x1,x2,y
57,33.162059917590724,150.41329575202974
6,15.761366255440166,43.36325472593368
74,81.28967796245348,231.7094777132088
96,91.9303515056142,281.4206256420713
81,64.30041371866913,238.289830551288
31,27.7814169247084,84.00985348693732
48,45.89799997311252,161.57455465130417
9,-3.329921742810233,16.94072033411563
19,9.06185912002739,46.83798678446452
54,44.230505119477804,150.69303352619025
33,40.14082959937357,98.38146204147384
42,77.62276093200327,189.02985550812912
58,77.68625089448598,199.315022382664
54,62.09319208559644,179.61240807121172
63,81.36553382281816,222.43316549512787
37,64.25431577082641,149.91100768359738
11,5.08186663382446,30.510687799097383
62,13.501218250338376,152.31548471131558
40,57.3638192427048,129.90565662079825
90,102.46698455183672,283.0576992302499
22,10.910505038330612,55.599860967305645
3,25.466904521930005,61.73272994700701
38,40.38903812765445,111.431095928279
15,22.892794598105013,47.68919532388504
15,13.812902719697217,44.02720497015886
3,-0.537136719547302,16.718194018527726
91,103.72607003069066,289.9120821591516
32,60.507952585753536,125.56382994215213
67,62.87359285820515,188.756035805538
84,65.28507571196297,239.5966113474484
17,-0.5800077468947755,42.89050332867224
83,86.76663540188136,256.79825026949163
50,36.181339037562914,124.13677236949032
57,30.87378580269511,151.14824747833757
38,22.684536754080867,83.84887241251243
74,77.18583374499632,216.81347045099548
30,21.242665747309506,91.2006547179555
31,-17.972768187448537,55.9927646449607
12,23.097339762131483,51.32018590622843
70,61.18602099621098,216.28502069539624
69,35.860617038570346,173.69359225662254
86,59.720534188018966,235.33816727789605
62,73.63508444914234,196.9644838014789
53,34.848621484477164,133.39918364571827
5,-6.348648184034445,2.116047459975489
52,47.40052904600664,146.47054900675062
34,5.684324850003939,68.90658365129639
63,26.59676455365905,144.83490965797182
68,72.26428536991122,227.847563142146
91,104.36940629334612,285.8873764800264
57,53.1829845087639,180.5765657655093
13,2.9878802169366327,41.44519043513856
8,21.16772103232917,31.21375996714459
96,139.23917916081865,341.3866667085869
56,39.6441226162046,164.6813375460828
34,27.597390014327964,85.75462289423844
54,65.24826168367602,188.4875701812188
7,11.86067550791939,19.59542866070188
70,59.07054683292986,195.47750234639292
98,136.52205768045994,323.89467752458785
20,6.131084348621561,42.259774693449394
29,21.47806442411447,84.72349312304978
11,11.366805019735992,36.92008407155728
18,8.526103544594038,48.53429991355466
7,15.743789564859629,38.8790150875486
62,101.4625122836372,238.7838958764221
53,72.25435823914252,187.53627268166585
6,8.403743080849763,24.5901249703885
75,77.71983547542236,231.49518472710471
98,84.89544160876633,290.7658349864474
61,70.54402864393273,197.65464697000488
18,7.603465717807822,60.46175968699988
60,69.02425711320558,198.4391663707065
32,18.227424772993345,68.14095649917482
26,14.42964671529445,65.63180384859116
89,111.00189496525616,306.3326967104869
37,44.21974632770235,113.73602861133216
54,53.18596414492503,167.07745849322814
70,66.8489082811549,205.52699753595985
25,5.150918307137872,36.75896509797153
81,119.2782773921966,268.0541057298645
90,97.974403059602,294.70423407487823
